heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,4,3,2026,12.0,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,4,3,2026,11.2,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,4,3,2026,10.6,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,4,3,2026,9.8,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,4,3,2026,9.2,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,4,3,2026,8.3,20.188,0.0,0.122,0.0,0.1,0.602,0.2146,0.1288
6,4,3,2026,7.8,20.885,0.0,0.562,0.0,0.1,1.135,0.2146,0.1288
7,4,3,2026,8.0,20.562,0.0,0.7372,0.0,0.1,1.928,0.2146,0.1288
8,4,3,2026,8.0,20.872,8.2,0.8217,0.049,0.773,1.742,0.2146,0.1288
9,4,3,2026,8.6,21.133,108.2,0.8012,0.647,0.683,1.583,0.2146,0.1288
10,4,3,2026,11.8,21.804,260.2,0.5502,1.561,0.7,1.055,0.2146,0.1288
11,4,3,2026,13.9,22.201,401.0,0.405,2.404,1.565,1.04,0.2146,0.1288
12,4,3,2026,16.0,22.097,506.5,0.1731,3.036,1.32,0.823,0.2146,0.1288
13,4,3,2026,17.9,22.046,563.5,0.1266,3.38,1.372,0.729,0.2146,0.1288
14,4,3,2026,18.5,22.094,570.5,0.1864,3.422,1.349,0.586,0.2146,0.1288
15,4,3,2026,18.8,22.418,524.2,0.3061,3.144,0.107,1.145,0.2146,0.1288
16,4,3,2026,18.7,22.312,426.8,0.4664,2.569,1.496,1.049,0.2146,0.1288
17,4,3,2026,18.2,22.055,289.5,0.6484,1.704,1.545,1.038,0.2146,0.1288
18,4,3,2026,17.3,21.484,130.0,0.7619,0.773,1.776,1.586,0.2146,0.1288
19,4,3,2026,16.0,21.395,12.8,0.8161,0.077,1.943,1.586,0.1696,0.1018
20,4,3,2026,14.7,21.029,0.0,0.7981,0.0,1.952,1.586,0.1696,0.1018
21,4,3,2026,13.7,20.718,0.0,0.6189,0.0,0.221,1.14,0.1696,0.1018
22,4,3,2026,12.8,20.568,0.0,0.4068,0.0,0.911,1.35,0.1696,0.1018
23,4,3,2026,11.8,20.137,0.0,0.2545,0.0,2.996,0.306,0.1696,0.1018
