heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,8,2,2026,4.0,20.0,25.0,5.323,19.04,38.877,0.0616,0.238,1.478,0.636,0.0,0.0,4.024,0,0.1674,0.1032
1,8,2,2026,4.0,20.0,25.0,5.159,19.749,0.0,0.0515,0.0,1.315,0.107,0.0,0.0,2.527,0,0.1458,0.086
2,8,2,2026,4.0,20.0,25.0,5.769,20.177,0.0,0.1534,0.0,1.31,0.501,0.0,0.0,0.62,0,0.1601,0.1002
3,8,2,2026,4.0,20.0,25.0,6.592,19.861,38.202,0.0419,0.308,1.318,0.006,0.427,0.0,0.0,0,0.1756,0.1087
4,8,2,2026,4.0,20.0,25.0,5.63,19.98,0.0,0.0,0.0,1.418,0.088,1.506,0.0,0.0,0,0.1501,0.0823
5,8,2,2026,4.0,20.0,25.0,9.476,19.47,11.761,0.206,0.0,1.104,0.413,1.517,0.0,0.0,0,0.1927,0.1159
6,8,2,2026,4.0,20.0,25.0,11.076,21.079,0.0,0.3731,0.105,1.237,0.552,1.683,0.0,0.0,0,0.1816,0.102
7,8,2,2026,4.0,20.0,25.0,12.539,20.701,64.03,0.709,0.483,0.813,1.302,1.633,0.0,0.0,0,0.2025,0.1192
8,8,2,2026,4.0,20.0,25.0,13.443,20.462,251.362,1.0,1.462,1.078,1.981,1.598,0.0,0.0,0,0.2212,0.1329
9,8,2,2026,4.0,20.0,25.0,15.675,21.803,362.247,0.7386,2.099,0.934,1.477,0.312,0.0,0.0,0,0.2196,0.1403
10,8,2,2026,4.0,20.0,25.0,17.296,21.376,532.386,0.5938,3.322,1.006,1.03,0.0,0.0,1.222,0,0.2126,0.117
11,8,2,2026,4.0,20.0,25.0,17.099,21.613,747.215,0.2884,4.428,1.17,0.929,0.0,0.0,3.435,0,0.2199,0.1302
12,8,2,2026,4.0,20.0,25.0,16.644,21.463,853.623,0.1858,5.105,0.929,0.525,0.0,0.0,6.903,0,0.2114,0.1302
13,8,2,2026,4.0,20.0,25.0,17.109,22.055,852.441,0.1399,5.295,0.951,0.768,0.0,0.0,10.3,0,0.2138,0.1316
14,8,2,2026,4.0,20.0,25.0,15.871,22.212,836.42,0.3161,5.037,1.056,0.429,0.0,0.184,13.5,0,0.2196,0.136
15,8,2,2026,4.0,20.0,25.0,14.832,22.572,731.808,0.2081,4.341,0.846,1.121,0.0,2.375,13.5,0,0.2189,0.1264
16,8,2,2026,4.0,20.0,25.0,13.753,22.194,569.988,0.2386,3.222,1.102,0.531,0.0,1.589,13.5,0,0.2175,0.1299
17,8,2,2026,4.0,20.0,25.0,12.483,21.771,420.231,0.6705,2.525,1.185,1.021,0.0,0.319,13.5,0,0.2177,0.1283
18,8,2,2026,4.0,20.0,25.0,11.187,21.779,226.587,0.9163,1.351,1.09,1.438,0.0,0.0,12.262,0,0.224,0.1409
19,8,2,2026,4.0,20.0,25.0,9.174,21.081,111.113,0.7719,0.604,1.244,1.607,0.0,0.0,9.897,0,0.2222,0.1326
20,8,2,2026,4.0,20.0,25.0,8.984,20.606,57.441,0.6137,0.437,1.227,1.348,0.0,0.0,7.646,0,0.2025,0.1216
21,8,2,2026,4.0,20.0,25.0,5.909,21.208,73.362,0.5364,0.311,1.164,1.206,0.0,0.0,5.478,0,0.2069,0.1251
22,8,2,2026,4.0,20.0,25.0,5.317,20.63,0.0,0.4291,0.0,1.099,0.994,0.0,0.0,3.275,0,0.1841,0.1039
23,8,2,2026,4.0,20.0,25.0,5.383,20.302,0.0,0.2001,0.0,1.413,0.28,0.0,0.0,1.493,0,0.1851,0.1137
