hour,day,month,year,Tout,Tin,occupancy,heating_gap_outdoor,below_tmin_flag,Pfixe,Pflex,split
0,12,12,2025,5.152358539877215,19.76708501953945,0.04872039561615671,16.847641460122784,1,1.485429,0.323081,train
1,12,12,2025,4.684452989145342,19.65626303820215,0.03168978084486367,17.315547010854658,1,1.499466,0.297535,train
2,12,12,2025,6.179073175196597,19.833077296388335,0.04304131049244862,15.820926824803404,1,1.454628,0.314562,train
3,12,12,2025,7.227641671076321,19.83565744191523,0.06677678888733468,14.77235832892368,1,1.423171,0.350165,train
4,12,12,2025,7.024482405673082,19.977350127979225,0.03455281409567906,14.975517594326918,1,1.429266,0.301829,train
5,12,12,2025,8.795995975953716,20.188466435209456,0.1220058942643056,13.204004024046284,0,1.19612,0.433009,train
6,12,12,2025,11.063920201583644,20.885411900217616,0.5620248121082471,10.936079798416356,0,1.128082,1.093037,train
7,12,12,2025,12.394792974443334,20.56193148727057,0.7372220335366617,9.605207025556666,0,1.088156,1.355833,train
8,12,12,2025,13.991599421247855,20.871939317732117,0.8217457324631995,8.008400578752145,0,1.040252,1.482619,train
9,12,12,2025,14.816118723332496,21.133021576571306,0.8012366083209939,7.183881276667504,0,1.015516,1.451855,train
10,12,12,2025,16.635851410138045,21.80399485564387,0.5501610582662336,5.364148589861955,0,0.960924,1.075242,train
11,12,12,2025,17.184450925448886,22.201481888722736,0.4050370099378148,4.8155490745511145,0,0.944466,0.857556,train
12,12,12,2025,17.03301534878061,22.097346160506053,0.17313530311252318,4.966984651219391,0,0.94901,0.509703,train
13,12,12,2025,17.359175561218425,22.045664454935157,0.1266338551352224,4.640824438781575,0,0.939225,0.439951,train
14,12,12,2025,16.429907093832654,22.09387969607719,0.18638405438060968,5.570092906167346,0,0.967103,0.529576,train
15,12,12,2025,14.812994455677666,22.418351771131967,0.3061146452806739,7.187005544322334,0,1.01561,0.709172,train
16,12,12,2025,14.18437539204125,22.311646567720633,0.4664009893637644,7.81562460795875,0,1.034469,0.949601,train
17,12,12,2025,12.073472970200626,22.055027382618814,0.6484121948612659,9.926527029799374,0,1.097796,1.222618,train
18,12,12,2025,11.439225150653636,21.483622573177826,0.7618755076225237,10.560774849346364,0,1.116823,1.392813,train
19,12,12,2025,9.422122773891749,21.394505089399956,0.8161294462200629,12.577877226108251,0,1.177336,1.474194,train
