date,mae_pv,rmse_pv,mae_pfixe,rmse_pfixe,mae_pflex,rmse_pflex,mae_cbuy,rmse_cbuy,J_predicted,J_oracle,regret
2026-03-01,0.1151,0.1508,0.0604,0.0791,0.1985,0.3043,0.008883,0.010949,-22.4852,-22.3285,-0.1567
2026-03-02,0.1178,0.1581,0.0573,0.0798,0.1998,0.3055,0.008883,0.010949,-30.5852,-30.2378,-0.3473
2026-03-03,0.1173,0.157,0.0498,0.0732,0.1995,0.3056,0.008883,0.010949,-30.1103,-29.5779,-0.5325
2026-03-04,0.1188,0.1595,0.0436,0.0683,0.2018,0.3065,0.008883,0.010949,-32.2186,-31.4956,-0.723
2026-03-05,0.1204,0.16,0.0425,0.0681,0.199,0.3048,0.008883,0.010949,-30.045,-29.2893,-0.7557
2026-03-06,0.117,0.1545,0.0412,0.0679,0.1999,0.3047,0.008883,0.010949,-20.6501,-19.8372,-0.8129
2026-03-07,0.1177,0.158,0.0416,0.0679,0.1996,0.3034,0.008883,0.010949,-29.7874,-29.0723,-0.7151
2026-03-08,0.114,0.1512,0.0411,0.0679,0.1987,0.3042,0.008883,0.010949,-28.9822,-28.4394,-0.5428
2026-03-09,0.1195,0.1596,0.0428,0.0683,0.1965,0.304,0.008883,0.010949,-27.8359,-27.1508,-0.6851
2026-03-10,0.1215,0.1654,0.0456,0.0701,0.1978,0.3036,0.008883,0.010949,-23.1263,-22.6523,-0.474
2026-03-11,0.1067,0.143,0.0529,0.0781,0.2072,0.31,0.008883,0.010949,-11.9216,-11.7812,-0.1404
2026-03-12,0.1177,0.1586,0.0536,0.0793,0.1978,0.3009,0.008883,0.010949,-23.7455,-23.5614,-0.1841
2026-03-13,0.1073,0.1432,0.0543,0.0797,0.2007,0.3054,0.008883,0.010949,-5.2268,-5.1363,-0.0905
2026-03-14,0.1179,0.1585,0.0553,0.0804,0.2005,0.3069,0.008883,0.010949,-21.5796,-21.366,-0.2136
