hour,day,month,year,Tout,Tin,G,occupancy,heating_gap_outdoor,below_tmin_flag,Pfixe,Pflex,PV
0,9,12,2025,5.152358539877215,19.76708501953945,0.0,0.04872039561615671,16.847641460122784,1,1.485429,0.323081,0.0
1,9,12,2025,4.684452989145342,19.65626303820215,12.4290186013441,0.03168978084486367,17.315547010854658,1,1.499466,0.297535,0.075
2,9,12,2025,6.179073175196597,19.833077296388335,3.560643401764131,0.04304131049244862,15.820926824803404,1,1.454628,0.314562,0.021
3,9,12,2025,7.227641671076321,19.83565744191523,17.262133851694205,0.06677678888733468,14.77235832892368,1,1.423171,0.350165,0.104
4,9,12,2025,7.024482405673082,19.977350127979225,0.0,0.03455281409567906,14.975517594326918,1,1.429266,0.301829,0.0
5,9,12,2025,8.795995975953716,20.188466435209456,3.9634922769178558,0.1220058942643056,13.204004024046284,0,1.19612,0.433009,0.024
6,9,12,2025,11.063920201583644,20.885411900217616,15.639759849183418,0.5620248121082471,10.936079798416356,0,1.128082,1.093037,0.094
7,9,12,2025,12.394792974443334,20.56193148727057,114.06809141994547,0.7372220335366617,9.605207025556666,0,1.088156,1.355833,0.684
8,9,12,2025,13.991599421247855,20.871939317732117,235.83636883850184,0.8217457324631995,8.008400578752145,0,1.040252,1.482619,1.415
9,9,12,2025,14.816118723332496,21.133021576571306,353.45291292980244,0.8012366083209939,7.183881276667504,0,1.015516,1.451855,2.121
10,9,12,2025,16.635851410138045,21.80399485564387,536.8012475772433,0.5501610582662336,5.364148589861955,0,0.960924,1.075242,3.221
11,9,12,2025,17.184450925448886,22.201481888722736,711.120215275169,0.4050370099378148,4.8155490745511145,0,0.944466,0.857556,4.267
12,9,12,2025,17.03301534878061,22.097346160506053,821.4675308763628,0.17313530311252318,4.966984651219391,0,0.94901,0.509703,4.929
13,9,12,2025,17.359175561218425,22.045664454935157,912.1743120196395,0.1266338551352224,4.640824438781575,0,0.939225,0.439951,5.473
14,9,12,2025,16.429907093832654,22.09387969607719,839.6284635110208,0.18638405438060968,5.570092906167346,0,0.967103,0.529576,5.038
15,9,12,2025,14.812994455677666,22.418351771131967,720.9760155933194,0.3061146452806739,7.187005544322334,0,1.01561,0.709172,4.326
16,9,12,2025,14.18437539204125,22.311646567720633,557.8962602140178,0.4664009893637644,7.81562460795875,0,1.034469,0.949601,3.347
17,9,12,2025,12.073472970200626,22.055027382618814,381.1643408572173,0.6484121948612659,9.926527029799374,0,1.097796,1.222618,2.287
18,9,12,2025,11.439225150653636,21.483622573177826,241.05161562388622,0.7618755076225237,10.560774849346364,0,1.116823,1.392813,1.446
19,9,12,2025,9.422122773891749,21.394505089399956,119.33961780021585,0.8161294462200629,12.577877226108251,0,1.177336,1.474194,0.716
20,9,12,2025,7.907568818227372,21.029171452285183,0.0,0.7980765362276914,14.092431181772628,0,1.222773,1.447115,0.0
21,9,12,2025,6.416894540678746,20.718207390548976,0.0,0.6188726480588197,15.583105459321253,0,1.267493,1.178309,0.0
22,9,12,2025,6.415118246630384,20.56785719448705,0.0,0.4067936022698411,15.584881753369615,0,1.267546,0.86019,0.0
23,9,12,2025,5.1271803012311885,20.13666007165116,0.0,0.2545293589197911,16.87281969876881,0,1.306185,0.631794,0.0
0,10,12,2025,5.12211475333588,19.354699847227884,18.99099739964351,0.04712820986333494,16.87788524666412,1,1.486337,0.320692,0.114
1,10,12,2025,5.543534202305018,19.81039108478064,2.143566397909533,0.012508495490217413,16.45646579769498,1,1.473694,0.268763,0.013
2,10,12,2025,5.511082886617333,19.94543003547316,35.86594417627488,0.018381850951703485,16.488917113382666,1,1.474668,0.277573,0.215
3,10,12,2025,6.30302275131804,19.761825183512737,0.0,0.06705559260414785,15.69697724868196,1,1.450909,0.350583,0.0
4,10,12,2025,7.004080894439317,19.876485743654282,0.0,0.0597529519750178,14.995919105560683,1,1.429878,0.339629,0.0
5,10,12,2025,9.932897220377976,19.5681088463951,21.762768247057828,0.14167665149836473,12.067102779622024,1,1.342013,0.462515,0.131
6,10,12,2025,11.008328650288023,20.488825921389697,0.0,0.573452205149188,10.991671349711977,0,1.12975,1.110178,0.0
7,10,12,2025,12.655779943088538,20.762608383178378,109.90778498315571,0.7205602235087221,9.344220056911462,0,1.080327,1.33084,0.659
8,10,12,2025,13.608202561747193,20.707000560406374,283.56897812485755,0.8589917230679844,8.391797438252807,0,1.051754,1.538488,1.701
9,10,12,2025,15.855889701762266,21.814757445444826,370.6571511833213,0.7177075104898929,6.1441102982377345,0,0.984323,1.326561,2.224
10,10,12,2025,16.667752711545642,21.343995949814943,554.8216996191803,0.5831248950729241,5.332247288454358,0,0.959967,1.124687,3.329
11,10,12,2025,16.734643016990564,21.499416225113226,696.8735106781043,0.37799819967291537,5.265356983009436,0,0.957961,0.816997,4.181
12,10,12,2025,16.722068271048858,21.673068582442106,850.7838505115768,0.2616197327798152,5.277931728951142,0,0.958338,0.64243,5.105
13,10,12,2025,16.61720926570512,22.262196301006053,896.4450289507948,0.10309164932969123,5.382790734294879,0,0.961484,0.404637,5.379
14,10,12,2025,15.796839651494308,22.384467812536776,897.8219328673275,0.16520556138055237,6.203160348505692,0,0.986095,0.497808,5.387
15,10,12,2025,15.255922761739557,22.36594705190945,695.4116040596183,0.28551877899569067,6.744077238260443,0,1.002322,0.678278,4.172
16,10,12,2025,13.691916140149726,22.0414930303659,476.83350258473547,0.4504896038744714,8.308083859850274,0,1.049243,0.925734,2.861
