heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,3,3,2026,11.3,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,3,3,2026,10.2,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,3,3,2026,9.7,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,3,3,2026,9.2,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,3,3,2026,8.4,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,3,3,2026,8.2,20.188,0.0,0.122,0.0,0.1,0.608,0.2146,0.1288
6,3,3,2026,8.0,20.885,0.0,0.562,0.0,0.1,1.128,0.2146,0.1288
7,3,3,2026,7.6,20.562,0.0,0.7372,0.0,0.1,1.912,0.2146,0.1288
8,3,3,2026,7.5,20.872,6.5,0.8217,0.039,0.798,1.734,0.2146,0.1288
9,3,3,2026,8.1,21.133,90.0,0.8012,0.532,0.718,1.583,0.2146,0.1288
10,3,3,2026,10.0,21.804,224.0,0.5502,1.346,0.71,1.063,0.2146,0.1288
11,3,3,2026,11.4,22.201,339.8,0.405,2.038,1.56,1.043,0.2146,0.1288
12,3,3,2026,13.5,22.097,470.5,0.1731,2.839,1.313,0.833,0.2146,0.1288
13,3,3,2026,15.9,22.046,546.8,0.1266,3.279,1.361,0.729,0.2146,0.1288
14,3,3,2026,17.0,22.094,552.8,0.1864,3.319,1.339,0.593,0.2146,0.1288
15,3,3,2026,17.9,22.418,504.0,0.3061,3.029,0.1,1.145,0.2146,0.1288
16,3,3,2026,18.5,22.312,406.8,0.4664,2.447,1.48,1.053,0.2146,0.1288
17,3,3,2026,18.3,22.055,256.0,0.6484,1.537,1.545,1.038,0.2146,0.1288
18,3,3,2026,17.6,21.484,103.0,0.7619,0.617,1.76,1.586,0.2146,0.1288
19,3,3,2026,16.1,21.395,8.8,0.8161,0.053,1.916,1.586,0.1696,0.1018
20,3,3,2026,14.9,21.029,0.0,0.7981,0.0,1.924,1.586,0.1696,0.1018
21,3,3,2026,14.1,20.718,0.0,0.6189,0.0,0.179,1.131,0.1696,0.1018
22,3,3,2026,13.4,20.568,0.0,0.4068,0.0,0.709,1.349,0.1696,0.1018
23,3,3,2026,12.6,20.137,0.0,0.2545,0.0,2.98,0.305,0.1696,0.1018
