heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,14,3,2026,4.0,20.0,25.0,6.371,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.1674,0.1032
1,14,3,2026,4.0,20.0,25.0,5.475,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1458,0.086
2,14,3,2026,4.0,20.0,25.0,3.09,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.1601,0.1002
3,14,3,2026,4.0,20.0,25.0,3.264,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.2206,0.1357
4,14,3,2026,4.0,20.0,25.0,2.506,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,14,3,2026,4.0,20.0,25.0,4.38,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,14,3,2026,4.0,20.0,25.0,3.612,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.207,0,0.2266,0.129
7,14,3,2026,4.0,20.0,25.0,3.744,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,14,3,2026,4.0,20.0,25.0,2.951,20.462,58.324,1.0,0.303,0.393,1.981,0.312,0.0,0.0,0,0.2212,0.1329
9,14,3,2026,4.0,20.0,25.0,5.159,21.803,63.372,0.8033,0.306,0.192,1.58,1.466,0.0,0.0,0,0.2196,0.1403
10,14,3,2026,4.0,20.0,25.0,6.06,21.376,179.354,0.5788,1.204,2.541,1.006,2.343,0.0,0.0,1,0.2126,0.117
11,14,3,2026,4.0,20.0,25.0,7.215,21.613,429.344,0.3289,2.521,3.057,0.994,1.53,0.0,0.0,0,0.2199,0.1302
12,14,3,2026,4.0,20.0,25.0,8.111,21.463,538.531,0.1712,3.215,1.052,0.501,0.0,0.0,1.578,0,0.2114,0.1302
13,14,3,2026,4.0,20.0,25.0,8.75,22.055,407.613,0.1152,2.626,1.133,0.729,0.0,0.0,2.304,0,0.2138,0.1316
14,14,3,2026,4.0,20.0,25.0,8.541,22.212,321.788,0.3351,1.949,1.218,0.459,0.0,0.0,2.562,0,0.2196,0.136
15,14,3,2026,4.0,20.0,25.0,9.419,22.572,376.689,0.2253,2.211,0.1,1.148,0.0,0.0,3.476,0,0.2189,0.1264
16,14,3,2026,4.0,20.0,25.0,9.569,22.194,290.83,0.2455,1.547,1.486,0.542,0.0,0.0,2.97,0,0.2175,0.1299
17,14,3,2026,4.0,20.0,25.0,10.81,21.771,264.896,0.6809,1.593,1.701,1.038,0.0,0.0,1.764,0,0.2177,0.1283
18,14,3,2026,4.0,20.0,25.0,9.648,21.779,147.888,0.8859,0.879,1.666,1.389,0.5,0.0,0.0,0,0.179,0.1139
19,14,3,2026,4.0,20.0,25.0,9.252,21.081,33.67,0.761,0.14,1.76,1.589,3.21,0.0,0.0,1,0.1772,0.1056
20,14,3,2026,4.0,20.0,25.0,9.576,20.606,35.992,0.6522,0.309,1.698,1.41,2.8,0.0,0.0,1,0.1575,0.0946
21,14,3,2026,4.0,20.0,25.0,6.792,21.208,73.362,0.5331,0.311,0.412,1.201,1.302,0.0,0.0,0,0.1619,0.0981
22,14,3,2026,4.0,20.0,25.0,5.402,20.63,0.0,0.4415,0.0,0.58,1.013,1.594,0.0,0.0,0,0.1841,0.1039
23,14,3,2026,4.0,20.0,25.0,5.156,20.302,0.0,0.2095,0.0,2.675,0.295,2.97,0.0,0.0,1,0.1851,0.1137
